item,mean,sd
q5e_everyday_low_prices,3.5106275303643724,1.1433410560997161
q5e_frequent_promotions,3.5175038051750382,1.119768403974149
q5e_weekly_ads,3.539200809307031,1.1169498159431233
q5e_store_coupons,3.53997975708502,1.0951773682579673
q5e_low_receipt_total,3.554143365531266,1.1135856988270851
q5e_product_quality,3.572225038013178,1.1471275379300443
q5e_produce_quality,3.5487620010106116,1.1420903234098114
q5e_meat_quality,3.571573090541224,1.144013286921106
q5e_store_brand_quality,3.5514445007602635,1.089324088210015
q5e_store_app,3.4951898734177216,1.1489178873854031
q5e_accurate_web_prices,3.4997465788139888,1.1400975620349854
q5e_loyalty_program,3.477031802120141,1.0876266783287163
q5e_curbside_pickup,3.4412955465587043,1.1729418351126248
q5e_delivery,3.4319105691056913,1.1713570264033966
q5e_product_selection,3.601823708206687,1.101773310209934
q5e_national_brand_selection,3.590563165905632,1.0773591690471058
q5e_store_brand_selection,3.5749746707193517,1.0698853737630785
q5e_one_stop_shop,3.5923115832068793,1.0857475493518065
q5e_fresh_service_depts,3.5640243902439024,1.0794406577572262
q5e_quick_easy_shop,3.4349367088607594,1.0978908966821483
q5e_clean_store,3.445959595959596,1.116104192426285
